Ata 4D,Resumen
3031A,ANTI ICE PROBE STANBY
3031B,ANTI ICE PITOT /TAT
3031C,ANTI ICE  STANBY
3042,ANTI ICE WINDSHIELD  
3045A,RAIN REPELLENT
3045B,WIPPER
3071,DRAIN MAST ICE PROTECTION
3072,WATER SERVICING PANELS HEATING
3073,POTABLE WATER ICE PROTECTION
3081,ICE DETECTION
3100,INDICATING/RECORDING SYST.
3110,INSTRUMENTS AND CONTROL PANELS
3114,OVERHEAD PANEL
3121,ELECTRICAL CLOCK
3130,CENTRALIZED FAULT DSPLY & DATA REC.SYST
3132,CENTRALIZED FAULT DSPLY INTERFACE -CFDIU
3133,DFDR/ FDIU
3135,PRINTER
3136A,PCMCIA
3136B,FDIMU
3137,AIDS INPUT INTERFACE ((FDIMU))
3137,HARD LANDING
3138,UP/DWN DATA LOADING SYST.ACQUIS./INTERF
3138A,UP DATALOAD
3150,CENTRAL WARNING SYSTEMS
3151,OPERATIONAL PRESENTATION
3152,FWC - ACQUISITION/INTERFACE
3153,FLIGHT WARNING COMPUTER
3154,SDAC - ACQUISITION / INTERFACE
3155,SYST DATA ACQUISITION CONCENTR (SDAC)
3156,ECAM CONTROL PANEL
3160,EFIS
3161,EIS - CONTROL
3162,DMC - ACQUISITION/INTERFACE
3163,DISPLAY MANAGEMENT COMPUTER (DMC) (CRT)
3164,PRIMARY FLIGHT DISPLAY (PFD)
3165,NAVIGATION DISPLAY (ND)
3166,ECAM ENGINE / WARNING DISPLAY
3168,EIS - SWITCHING
3200,LANDING GEAR
3210A,SAFETY DEVICE
3210B,SHOCK ABSORBER
3210C,MAIN GEAR AND DOORS
3210D,MLG DOORS ACT
3211,MAIN GEAR
3212,MLG DOORS
3212A,LOCK STAY ACTUATOR
3212,MLG KEEL BEAM
3214,ACCUMULATORS
3220,NLG DOORS
3220A,NLG VIB
3220B,NLG NOISE
3221,NLG VIB
3222,NLG DOORS
3230,EXTENSION AND RETRACTION
3231,L/G SYS
3233,FREE FALL EXTENTION
3240,WHEELS AND BRAKES
3241,WHEELS
3241A,VISIBLES PLIES
3241B,FOD WHEEL CUT
3241C,FOD WHEEL THREAD
3241D,WHEEL PRESS
3241E,WHEEL BUBBLE
3241F,WHEEL BULGE
3242,NORMAL BRAKING
3242A,BRAKE WORN
3242B,BRAKE TEMP
3242C,BRAKE PIN 
3242,BRAKE SYS
3242D,BRAKE BROKEN
3242E,BRAKE BLOCKED
3243,BRAKE ALTN BRAKE
3244A,BRAKE ALTN BRAKE
3244B,BRAKE ACCUM
3245,PARKING / ULTIMATE EMERGENCY BRAKING
3246,BRAKE SYS
3246A,BREAKE RELEASE
3246B,BRAKES AND STEERING 
3247,BRAKE SYSTEM TEMPERATURE
3250,NLG STEERING
3251,STEERING PEDAL
3260,POSITION AND WARNING
3261,INDICATING AND WARNING
3262,LANDING GEAR - POSITION INFORMATION
3269,LGCIU
3300,LIGHTS
3310,LIGHT MAP
3310A,LIGHT SPARE BOX
3310B,LIGHT F.C.U
3310C,LIGHT COCKPIT
3311,LIGHT INTEGRAL PANEL
3312A,GENERAL ILLUMINATION
3312B,LIGHT DOME
3313,INSTRUMENT & PANEL INTEGRAL LIGHTING
3314,ANNUNCIATOR LIGHT TEST & DIMMING
3320,CABIN
3321A,LIGHT CABIN
3321B,LIGHT CEILING
3321C,LIGHT REFUEL PNL 
3324,LAVATORY LIGHTING
3325,PASSENGER READING LIGHTS
3326,LAVATORY LIGHTED SIGNS
3327,"LIGHT - WORK, CABIN ATTENDANT"
3330,CARGO AND SERVICE COMPARTMENTS
3330,LIGHT CARGO
3331,SERVICE AREA LIGHTING
3332,A/C & ACCESSORY COMPARTMENT LIGHTING
3334,FWD - AFT CARGO COMPARTMENT LIGHTING
3335,AVIONICS COMPARTMENT LIGHTING
3337,WHEEL WELL LIGHTING
3340,LIGHT TAKE OFF
3341A,LIGHT NAVIGATION 
3341B,LIGHT TAIL NAV
3342,LIGHT LANDING
3343,LIGHT RUNWAY 
3345,LIGHT PACKING BRAKE 
3346,LIGHT TAXI
3347,LIGHT LOGO
3348,LIGHT ANTI-COLLISION 
3349,LIGHT SCAN
3350,LIGHT EMERGENCY
3351,LIGHT EMERGENCY
3400,NAVIGATION
3410,ADIRS
3411,"SENSORS, POWER SOPPLY AND SWITCH ING"
3412,AIR DATA/INTERNAL REF.SYST ADIRU & CDU
3413,ADIRS
3414A,FMS DATABASE
3414B,"ATTITUDE, HEADING AND POSITION"
3415,ANGLE OF ATTACK INDICATING
3420,STANDBY NAVIGATION SYSTEMS
3422,COMPASS-STANDBY
3422A,STANDBY DATA: ATTITUDE AND HEADING
3436A,ILS (MMR)
3436B,GPS
3440,ROW/ROPS
3441,WX RADAR
3442,R/A
3443,TCAS 
3448,GPWS
3451,DME
3452,ATC
3453,ADF
3455,VOR
3457,RADIO MAGNETIC INFORMATION- SWT.& INDIC.
3457,FMS DATA BASE
3500,OXYGEN
3510,OXYGEN CREW 
3511,OXIGEN STORAGE
3511,OXYGEN CYLINDER
3512,OXIGEN DISTRIBUTION
3512A,OXYGEN MASK
3513,CONTROL AND INDICATING
3520,PASSENGER OXYGEN
3521,OXIGEN STORAGE
3523,OXYGEN DISTRIBUTION
